"","x"
"187",8.119212383
"188",7.74493353
"189",8.890392105
"190",9.870968692
"191",10.86875513
"192",10.1932897
"193",8.368398367
"194",8.268978692
"195",6.753191923
"196",10.92123332
"197",8.275133387
"198",11.50256433
"199",9.323769936
"200",9.778354947
"201",7.56862562
"202",9.456258478
"203",12.44722549
"204",10.98004576
"205",7.001686075
"206",8.369410815
"207",11.59251937
"208",10.35112463
"209",8.977001471
"210",14.38840516
"211",11.4579858
"212",9.209429631
"213",9.434361659
"214",9.153168395
"215",10.51933991
"216",6.660191218
"217",11.63076978
"218",8.57282655
"219",11.63072603
"220",10.80628365
"221",10.67655184
"222",4.429639679
"223",9.634898593
"224",8.412173436
"225",7.865812817
"226",11.02005771
"227",8.659699581
"228",9.271691012
"229",11.18071349
"230",10.23582355
"231",10.45343212
"232",7.735136356
"233",9.346558616
"234",8.761160084
"235",10.03266179
"236",10.4235936
"237",14.55748021
"238",12.50990358
"239",8.828441683
"240",11.61517788
"241",11.35755706
"242",12.00887195
"243",8.594655659
"244",11.55184613
"245",9.748052953
"246",5.912794883
"247",9.290237674
"248",7.526594654
"249",7.029483315
"250",7.924893761
"251",7.138155442
"252",8.047836701
"253",8.778064157
"254",8.273345748
"255",7.828246265
"256",10.60449722
"257",9.189175031
"258",12.59518515
"259",10.84710947
"260",7.820927695
"261",10.6357903
"262",7.878909568
"263",8.502053856
"264",11.83554238
"265",9.768767984
"266",11.12981343
"267",11.89389773
"268",8.659086599
"269",8.708163203
"270",11.87697933
"271",7.989650388
"272",9.835725463
"273",10.95267412
"274",7.758388124
"275",13.54312039
"276",11.50974982
"277",10.69076409
"278",13.1221253
"279",11.0341761
"280",8.394625115
"281",13.33216303
"282",5.760819141
"283",7.1484761
"284",8.031534442
"285",9.063197286
"286",7.809358448
"287",8.413605688
"288",10.51993378
"289",10.71780734
"290",9.672831906
"291",11.36122506
"292",10.0580872
"293",11.54061112
"294",13.14560285
"295",6.485033456
"296",8.224983995
"297",8.013988224
"298",8.334929653
"299",9.360973509
"300",10.59321725
"301",8.154144832
"302",5.728346805
"303",9.232437946
"304",12.17439509
"305",12.16703167
"306",10.10385939
"307",9.373137672
"308",13.22379528
"309",10.07825505
"310",5.600743462
"311",11.2930548
"312",12.19889214
"313",10.15619598
"314",12.05300731
"315",11.87668588
"316",6.822003434
"317",8.575125494
"318",9.788113193
"319",8.260811616
"320",8.202677852
"321",11.21458001
"322",12.09313768
"323",10.5727767
"324",6.307882191
"325",12.20029824
"326",9.509045917
"327",11.42501438
"328",9.412559863
"329",8.314565503
"330",7.297991404
"331",7.670551425
"332",9.378362829
"333",10.7403138
"334",15.88966752
"335",11.30520236
"336",7.691890759
"337",8.128284954
"338",9.096480222
"339",15.61853221
"340",7.632802
"341",7.692383594
"342",12.10042099
"343",10.28878936
"344",6.016969993
"345",7.272708836
"346",8.118097161
"347",11.78809769
"348",11.41735646
"349",8.662275941
"350",12.19075341
"351",6.88621413
"352",12.97888937
"353",9.770571642
"354",9.361617948
"355",8.099373757
"356",10.32919625
"357",9.602667115
"358",9.149577033
"359",9.178191106
"360",8.141520376
"361",9.380190227
"362",11.70775755
"363",5.157581395
"364",10.16446533
"365",6.286127856
"366",10.20685357
"367",9.968077674
"368",9.393737374
"369",11.06692216
"370",5.909126042
"371",9.673688387
"372",7.352597278
"373",11.10611819
"374",9.100645103
"375",6.437236627
"376",7.141959015
"377",8.862722242
"378",10.51385533
"379",12.27758719
"380",8.977428836
"381",11.49254968
"382",7.507051389
"383",8.620306245
"384",9.515771288
"385",11.16257257
"386",10.34265354
"387",8.778942489
"388",8.15553394
"389",15.20541223
"390",10.06421698
"391",8.431463924
"392",8.681900858
"393",11.4110976
"394",13.18743415
"395",9.616040244
"396",9.287188792
"397",5.140572328
"398",9.351870456
"399",9.391008835
"400",10.66813636
"401",10.05257947
"402",9.443806165
"403",11.43513846
"404",10.64978894
"405",9.68741747
"406",7.32905614
"407",14.17531174
"408",8.345412913
"409",6.727794791
"410",7.418036487
"411",6.118363623
"412",10.29625999
"413",7.129352882
"414",10.01763384
"415",10.25437246
"416",10.4401524
"417",9.392465058
"418",15.25613963
"419",9.140012784
"420",7.093861413
"421",11.24560218
"422",11.47722325
"423",11.02368774
"424",8.769311105
"425",11.93367839
"426",9.268179333
"427",10.79891558
"428",9.724040032
"429",10.03384052
"430",11.47005167
"431",8.144676719
"432",9.774358845
"433",8.269837026
"434",10.00440472
"435",7.45558061
"436",9.99395679
"437",8.152331091
"438",5.319121135
"439",9.304736148
"440",9.283426919
"441",11.84107765
"442",11.09022149
"443",9.205853119
"444",13.99714496
"445",12.30069575
"446",5.886489588
"447",9.657392027
"448",11.34524931
"449",10.18167072
"450",8.106230481
"451",11.70616459
"452",5.816156559
"453",10.73043245
"454",6.778092463
"455",7.524113969
"456",10.4205489
"457",11.62715099
"458",9.688297264
"459",11.44475472
"460",5.405130387
"461",9.987335971
"462",11.66992195
"463",9.498835157
"464",12.85342638
"465",9.272466738
"466",7.810351615
"467",8.927657277
"468",7.645040924
"469",11.26393271
"470",11.17018778
"471",8.508329254
"472",8.199534859
"473",7.331631587
"474",8.572996673
"475",9.845471572
"476",12.6166838
"477",4.653150167
"478",13.47855296
"479",8.548933371
"480",10.15864829
"481",10.44324885
"482",8.617751805
"483",11.71087449
"484",13.23575014
"485",11.36426948
"486",10.9698267
"487",8.932008614
"488",8.925617624
"489",8.008491539
"490",7.870087608
"491",9.37252274
"492",9.785425086
"493",7.703362424
"494",10.33038497
"495",8.672625322
"496",6.079883823
"497",7.775201716
"498",8.157542786
"499",6.203071463
"500",10.20557719
"501",10.75122454
"502",11.13538257
"503",6.848252223
"504",10.50234987
"505",9.189498054
"506",6.872923519
"507",9.819545718
"508",6.253527259
"509",8.41303277
"510",11.4417432
"511",12.00480507
"512",8.980423952
"513",9.606240766
"514",7.066906696
"515",6.997691829
"516",10.63717667
"517",10.08896351
"518",9.676729176
"519",8.783528965
"520",7.87184909
"521",9.626308028
"522",9.452292042
"523",9.081456176
"524",6.739023916
"525",9.653370715
"526",7.227401091
"527",6.205777427
"528",13.07957618
"529",7.797614385
"530",7.044291513
"531",13.18727181
"532",9.033383578
"533",13.00170755
"534",8.176398113
"535",8.70020717
"536",9.870095017
"537",7.46673459
"538",12.32794677
"539",11.58836076
"540",9.787641353
"541",10.12445133
"542",10.50643466
"543",11.95408744
"544",8.17112195
"545",6.190550441
"546",9.620148623
"547",7.607532157
"548",8.797881869
"549",7.872270563
"550",6.44847416
"551",6.531407872
"552",11.50936641
"553",9.212016508
"554",11.64385772
"555",7.196795463
"556",7.278830391
"557",7.111801092
"558",8.330254259
"559",8.789613811
"560",7.396207715
"561",11.26164433
"562",7.779655632
"563",8.672215073
"564",10.37687307
"565",9.305730747
"566",7.489271425
"567",9.43233877
"568",11.1545975
"569",8.047993745
"570",11.30863496
"571",10.28616824
"572",10.60457833
"573",8.089061299
"574",7.91724305
"575",8.222546722
"576",11.82032167
"577",11.50240943
"578",10.77744775
"579",6.619570471
"580",9.663172437
"581",10.78662735
"582",7.670486263
"583",8.916922437
"584",6.647307728
"585",12.30360163
"586",8.123308214
"587",10.56438211
"588",7.582873587
"589",10.09457545
"590",7.758211715
"591",9.952265304
"592",8.368221589
"593",7.32292177
"594",8.65389445
"595",7.013379494
"596",9.280382102
"597",5.264150214
"598",10.01990166
"599",6.473419586
"600",12.93396455
"601",7.684162983
"602",9.772249601
"603",12.00177379
"604",5.671070295
"605",9.422586427
"606",4.733680426
"607",7.618027897
"608",6.680636426
"609",10.02242856
"610",9.433637919
"611",7.698114647
"612",7.595430037
"613",11.18221337
"614",11.57957638
"615",10.28923963
"616",7.913531962
"617",7.814922649
"618",10.58925442
"619",7.511210719
"620",13.88880465
"621",12.11611995
"622",9.389380123
"623",10.64661973
"624",10.71075923
"625",11.76291623
"626",7.262681724
"627",7.303097482
"628",11.20664209
"629",9.752310973
"630",6.68918897
"631",10.03597429
"632",7.116571015
"633",14.48013714
"634",9.197169497
"635",7.813680764
"636",9.771058131
"637",14.11389752
"638",9.564148412
"639",11.1410777
"640",8.288283992
"641",10.31656876
"642",8.067910465
"643",9.583644558
"644",11.35787198
"645",8.800644382
"646",7.356800033
"647",10.17803379
"648",8.858761854
"649",9.547807825
"650",6.496140465
"651",7.360602816
"652",9.269488876
"653",8.147055702
"654",12.54739148
"655",8.067682767
"656",9.069378503
"657",8.634193999
"658",7.960210851
"659",8.031983478
"660",9.785640628
"661",11.25761994
"662",5.621305395
"663",9.567336303
"664",8.22043007
"665",11.96729395
"666",5.477075111
"667",8.475436907
"668",11.13540048
"669",10.42536708
"670",7.63065654
"671",9.928218766
"672",10.23231514
"673",7.263836836
"674",8.542330823
"675",9.690168391
"676",7.42322471
"677",10.74022095
"678",6.709813674
"679",7.769933967
"680",11.4943972
"681",10.67147859
"682",8.998900082
"683",10.63427817
"684",11.94815953
"685",11.14545738
"686",10.19401113
"687",9.758934373
"688",12.32824366
"689",11.27899436
"690",10.42964581
"691",11.19243326
"692",8.985433911
"693",9.322708714
"694",8.444248135
"695",7.42065145
"696",8.501928943
"697",10.54184886
"698",12.17671848
"699",10.03185195
"700",9.72462622
"701",10.62153405
"702",11.75275364
"703",11.04405184
"704",8.845092998
"705",9.14209916
"706",8.903688078
"707",7.948539014
"708",9.703695625
"709",10.40484123
"710",6.244758067
"711",10.2401638
"712",10.32502848
"713",11.21097815
"714",6.663818826
"715",10.11376372
"716",9.870610316
"717",6.993324107
"718",7.155239205
"719",11.3441798
"720",8.029213207
"721",10.23221616
"722",10.36009227
"723",11.50622581
"724",6.210729701
"725",10.55569601
"726",11.83846403
"727",6.354724122
"728",6.799521445
"729",8.397618819
"730",9.59018972
"731",9.753456545
"732",9.178860171
"733",10.74150092
"734",10.97451615
"735",12.53326084
"736",7.539987936
"737",4.832766479
"738",9.803818786
"739",10.47022832
"740",4.728714426
"741",9.780426933
"742",10.44180684
"743",7.063466001
"744",11.7201746
"745",6.893624159
"746",8.751787622
"747",11.83542106
"748",8.949174305
"749",12.80855422
"750",11.08725804
"751",6.089447646
"752",8.469164807
"753",8.220802644
"754",9.665127835
"755",10.81835508
"756",5.101504904
"757",11.55331884
"758",12.93641354
"759",10.80596333
"760",8.713868685
"761",8.462413587
"762",8.648639865
"763",6.690554439
"764",7.062955564
"765",11.65413505
"766",8.907729086
"767",10.10368303
"768",8.822172951
"769",11.04759167
"770",11.8165648
"771",11.59906212
"772",10.8790269
"773",9.542285345
"774",9.842852946
"775",10.59224133
"776",8.399507054
"777",12.5816867
"778",9.522750197
"779",14.34049882
"780",9.357027956
"781",11.41259813
"782",12.16680932
"783",7.643818828
"784",11.03046775
"785",9.562985249
"786",6.762304266
"787",10.42507061
"788",9.723298093
"789",15.15888212
"790",11.60155372
"791",10.07410843
"792",13.532615
"793",10.6571765
"794",10.36871061
"795",7.894824692
"796",11.72142895
"797",6.757342503
"798",7.98042692
"799",5.723416915
"800",9.305289374
"801",12.66929187
"802",9.311654017
"803",5.856638905
"804",8.084446784
"805",7.630138849
"806",11.29821933
"807",10.24520483
"808",10.75538104
"809",9.761723643
"810",10.24531749
"811",9.432395089
"812",11.34558018
"813",7.07293002
"814",10.06214556
"815",9.033940304
"816",9.498104213
"817",9.228921673
"818",10.85867166
"819",9.380615181
"820",9.687295336
"821",8.834418434
"822",9.278227412
"823",9.646120444
"824",7.524598515
"825",8.792670464
"826",6.753473104
"827",11.98440835
"828",11.72757634
"829",10.21918921
"830",9.911782073
"831",8.099271062
"832",9.948417476
"833",8.254390993
"834",7.010981515
"835",10.78524584
"836",9.749161119
"837",7.662200252
"838",10.2797431
"839",9.378940193
"840",6.25890214
"841",11.56388866
"842",10.4006213
"843",8.809107468
"844",5.638183231
"845",10.62971713
"846",7.831340094
"847",10.02370204
"848",4.957555198
"849",10.86907544
"850",9.769303342
"851",6.273105928
"852",8.489179596
"853",12.22461872
"854",8.602822579
"855",9.880993298
"856",9.022210124
"857",9.834878169
"858",13.66327538
"859",11.22329449
"860",8.29014687
"861",8.917990894
"862",8.722062383
"863",8.479745238
"864",10.62322045
"865",11.37106756
"866",10.98575969
"867",7.428846268
"868",9.918491555
"869",9.518025565
"870",13.41046773
"871",9.005739905
"872",11.0522982
"873",7.683890721
"874",10.99943669
"875",11.49642941
"876",10.67446365
"877",9.633684465
"878",14.69986765
"879",8.392950435
"880",8.646197742
"881",9.263028
"882",14.55137671
"883",8.440410608
"884",10.07252427
"885",12.28215995
"886",9.455853586
"887",4.468364102
"888",9.92827877
"889",6.268172802
"890",12.45218555
"891",10.37777447
"892",9.990233986
"893",8.348738411
"894",11.00074366
"895",9.090187558
"896",5.958273003
"897",9.160078786
"898",11.07741337
"899",9.027891196
"900",12.48277277
"901",8.449672887
"902",11.79339273
"903",13.67059555
"904",8.797040895
"905",7.841101122
"906",15.00543755
"907",10.88245895
"908",11.33943972
"909",8.242995906
"910",9.020489311
"911",12.14909408
"912",11.80056954
"913",7.127766036
"914",10.84856659
"915",9.502072845
"916",6.817001857
"917",9.276592794
"918",13.02759352
"919",8.718936867
"920",11.80288328
"921",11.89448831
"922",7.628086623
"923",11.31479212
"924",10.19840962
"925",12.39279568
"926",8.249697236
"927",8.237157973
"928",8.620307559
"929",10.7357558
"930",11.55745712
"931",7.802158996
"932",10.86913487
"933",7.556921675
"934",6.356413041
"935",11.63115796
"936",10.23370966
"937",8.361691204
"938",10.58647261
"939",7.562414657
"940",6.74281971
"941",11.90360278
"942",11.17973502
"943",11.94945915
"944",13.16084394
"945",10.94120035
"946",12.12537937
"947",8.653026022
"948",6.774338185
"949",9.442109292
"950",9.44685176
"951",6.768723157
"952",7.040151045
"953",10.48489538
"954",7.020962716
"955",8.797127023
"956",6.620361827
"957",7.901317053
"958",7.616110657
"959",7.972034734
"960",13.59085744
"961",10.39922903
"962",7.873171467
"963",10.78379239
"964",12.18947803
"965",10.52527795
"966",10.79161555
"967",8.368559836
"968",8.389031764
"969",8.099080758
"970",14.14626524
"971",10.39782286
"972",11.44847137
"973",8.411496769
"974",6.66910375
"975",9.10127748
"976",6.469058044
"977",10.45712073
"978",8.939944527
"979",10.50614064
"980",10.18195468
"981",4.721598048
"982",10.13048736
"983",9.61690076
"984",8.559121755
"985",11.49889621
"986",8.990181103
"987",8.680503847
"988",10.33324128
"989",7.475517826
"990",10.61004451
"991",10.16658018
"992",13.25106941
"993",9.616610922
"994",10.35461669
"995",10.85384821
"996",6.307052942
"997",4.30952952
"998",9.045896896
"999",10.16005125
"1000",5.142210558
"1001",7.455522272
"1002",5.959773042
"1003",9.00905049
"1004",9.027941514
"1005",8.908862832
"1006",6.340637355
"1007",7.39792013
"1008",11.55397684
"1009",10.17049306
"1010",13.93274025
"1011",7.198319289
"1012",8.581144685
"1013",5.658568731
"1014",8.200974663
"1015",14.40797985
"1016",9.157520888
"1017",8.366978677
"1018",8.129319732
"1019",8.011824954
"1020",10.76104536
"1021",9.531876703
"1022",6.966412744
"1023",9.866477385
"1024",10.99266993
"1025",9.076441648
"1026",9.207564908
"1027",8.257463177
"1028",9.224532477
"1029",5.276933421
"1030",6.065258278
"1031",9.041281139
"1032",9.638916921
"1033",13.28247137
"1034",9.333853797
"1035",11.57135775
"1036",8.323945525
"1037",9.888169613
"1038",9.981679498
"1039",12.84487696
"1040",12.29170934
"1041",12.25028654
"1042",10.8358817
"1043",11.69806871
"1044",11.82164057
"1045",9.217392183
"1046",11.60601885
"1047",11.76828177
"1048",8.837166601
"1049",9.208218571
"1050",11.55558834
"1051",7.923918324
"1052",6.913944029
"1053",8.82691024
"1054",11.48873061
"1055",8.075153946
"1056",8.441219461
"1057",13.32896229
"1058",7.869077533
"1059",6.972581362
"1060",7.976686209
"1061",10.21560739
"1062",6.525228137
"1063",13.69380075
"1064",9.187962147
"1065",8.997232214
"1066",11.21915817
"1067",11.20944375
"1068",4.255549777
"1069",10.92662069
"1070",12.62398809
"1071",9.712074316
"1072",7.062327967
"1073",10.24807239
"1074",10.08067348
"1075",8.806267624
"1076",10.57504748
"1077",10.88198453
"1078",12.61902006
"1079",8.262324351
"1080",7.67035284
"1081",11.49578571
"1082",9.869940054
"1083",8.036408269
"1084",5.48640322
"1085",9.218209587
"1086",9.284663871
"1087",10.26724017
"1088",5.898959178
"1089",7.759669326
"1090",11.17211372
"1091",10.45696829
"1092",7.692019951
"1093",9.363261182
"1094",9.391008835
"1095",10.90128956
"1096",5.679868023
"1097",9.402257754
"1098",8.408028304
"1099",10.66912549
"1100",10.6009099
"1101",9.807142112
"1102",9.366840596
"1103",8.495357301
"1104",7.817736761
"1105",11.41774011
"1106",10.51483788
"1107",8.013442007
"1108",10.54633203
"1109",12.7179916
"1110",9.328467428
"1111",11.12844186
"1112",6.821501986
"1113",11.59665611
"1114",11.41787271
"1115",8.407525748
"1116",9.86727893
"1117",11.23092982
"1118",8.245303947
"1119",10.78200368
"1120",9.711466074
"1121",12.30184954
"1122",9.412657334
"1123",9.376291186
"1124",12.50511822
"1125",12.69106987
"1126",7.310478623
"1127",7.263557982
"1128",9.778294481
"1129",6.858408643
"1130",12.07232552
"1131",6.36515808
"1132",8.58724927
"1133",8.188581798
"1134",9.404127924
"1135",12.21444638
"1136",9.260501975
"1137",9.421969811
"1138",9.780363612
"1139",10.99303
"1140",8.177670541
"1141",10.12779315
"1142",11.99360299
"1143",8.753414134
"1144",6.261808533
"1145",6.094064356
"1146",6.841574982
"1147",9.593485869
"1148",8.484644419
"1149",10.54143671
"1150",11.34070581
"1151",9.567641601
"1152",9.600367586
"1153",8.458591343
"1154",5.699282938
"1155",10.1159002
"1156",9.259542027
"1157",7.590009187
"1158",14.03363609
"1159",10.0952264
"1160",9.365248415
"1161",9.765240376
"1162",9.182355808
"1163",9.45724415
"1164",9.111002588
"1165",5.63872828
"1166",7.332573893
"1167",12.05349895
"1168",11.89781499
"1169",9.710875045
"1170",9.13477647
"1171",9.078774356
"1172",8.71047351
"1173",9.596187856
"1174",11.65068695
"1175",9.018507138
"1176",7.733961829
"1177",7.133624377
"1178",3.83072836
"1179",10.30899452
"1180",11.70088135
"1181",12.09463184
"1182",9.426137514
"1183",11.19531693
"1184",9.451293063
"1185",7.750979009
"1186",13.98994297
"1187",8.462659934
"1188",8.012867966
"1189",10.79440485
"1190",11.91940275
"1191",7.247813064
"1192",12.29253054
"1193",8.869783992
"1194",8.409977794
"1195",7.055000381
"1196",14.32994342
"1197",12.02204038
"1198",6.869858215
"1199",7.086040372
"1200",11.90863075
"1201",7.176807938
"1202",9.919651267
"1203",7.097133345
"1204",10.56984536
"1205",6.766458436
"1206",9.641357405
"1207",4.118790005
"1208",13.85266918
"1209",7.721142361
"1210",6.861454676
"1211",8.230930144
"1212",5.851959706
"1213",10.88541829
"1214",10.018679
"1215",7.165514959
"1216",8.480703785
"1217",11.04359781
"1218",8.58765444
"1219",9.990570606
"1220",9.193585865
"1221",9.635547817
"1222",9.304981495
"1223",9.781631464
"1224",7.609647561
"1225",9.394634744
"1226",6.211670414
"1227",7.786556262
"1228",9.632862565
"1229",10.87675447
"1230",13.26506572
"1231",7.999237858
"1232",11.3751426
"1233",8.940364626
"1234",9.941687986
"1235",6.986992802
"1236",8.536668927
"1237",8.375015421
"1238",7.929109464
"1239",9.594644721
"1240",9.979955842
"1241",10.27253529
"1242",6.901930977
"1243",9.564361524
"1244",11.42213269
"1245",9.664816076
"1246",6.973437614
"1247",6.667573455
"1248",10.93609936
"1249",9.603636041
"1250",7.546226685
"1251",7.923303384
"1252",10.80246963
"1253",7.40190274
"1254",8.62089391
"1255",9.489064459
"1256",9.656212884
"1257",9.217365803
"1258",6.149575877
"1259",9.673684806
"1260",7.92730587
"1261",2.559540001
"1262",9.657259226
"1263",10.46458982
"1264",8.624603932
"1265",9.220031794
"1266",8.414417442
"1267",11.34076658
"1268",8.501380004
"1269",9.986769885
"1270",8.407334037
"1271",11.0583446
"1272",8.333973778
"1273",5.036503195
"1274",8.378176401
"1275",12.9599315
"1276",8.16881325
"1277",10.50252558
"1278",13.83817024
"1279",12.41263822
"1280",6.74861927
"1281",7.871412163
"1282",8.933948759
"1283",14.61244717
"1284",9.951218647
"1285",10.63509938
"1286",10.15635215
"1287",7.152873329
"1288",12.32451916
"1289",7.78022284
"1290",11.81762698
"1291",9.351456356
"1292",9.053923916
"1293",8.908189203
"1294",10.53961873
"1295",7.436613474
"1296",7.153775233
"1297",8.956565896
"1298",13.21209478
"1299",6.156229167
"1300",10.93924644
"1301",7.236222776
"1302",11.90853531
"1303",7.64639053
"1304",10.47373123
"1305",9.737261958
"1306",8.841302714
"1307",8.210381304
"1308",8.915792164
"1309",5.479129684
"1310",5.873268339
"1311",7.235596461
"1312",11.06698557
"1313",9.620761493
"1314",9.551327477
"1315",8.907944057
"1316",10.65384324
"1317",8.074133864
"1318",8.679552425
"1319",9.593256395
"1320",6.856397176
"1321",7.811848269
"1322",8.711720584
"1323",7.044124355
"1324",6.329688181
"1325",7.234104302
"1326",8.798238554
"1327",9.137489914
"1328",11.69277541
"1329",4.10546073
"1330",9.245179094
"1331",11.11809121
"1332",5.847894484
"1333",12.15506307
"1334",9.032729565
"1335",9.267435416
"1336",8.739913786
"1337",8.541380413
"1338",9.708633751
"1339",8.056956159
"1340",8.980290742
"1341",8.361210772
"1342",11.5898769
"1343",6.112722816
"1344",9.265037462
"1345",13.81301095
"1346",12.02172999
"1347",12.62457784
"1348",9.55436178
"1349",9.709793623
"1350",8.03621733
"1351",13.4656026
"1352",10.62896702
"1353",12.29434307
"1354",6.71961671
"1355",11.6336069
"1356",10.94931017
"1357",9.055507911
"1358",8.807048871
"1359",8.524657136
"1360",8.710847685
"1361",12.34534664
"1362",9.386566882
"1363",9.614495774
"1364",10.72167481
"1365",10.39819806
"1366",2.094315487
"1367",10.72958471
"1368",9.027557626
"1369",9.897336213
"1370",8.979416364
"1371",13.70348479
"1372",10.55645738
"1373",7.50814706
"1374",7.181075006
"1375",9.263489266
"1376",8.015183718
"1377",10.05251924
"1378",12.53360073
"1379",8.933405359
"1380",8.484979418
"1381",8.383967307
"1382",8.550322949
"1383",8.698646273
"1384",9.007288337
"1385",8.000784867
"1386",7.085629359
"1387",10.81625309
"1388",5.62098613
"1389",11.45744678
"1390",10.5690867
"1391",7.941909965
"1392",7.803658128
"1393",12.12744865
"1394",9.645705604
"1395",7.466567421
"1396",9.251427648
"1397",10.76213968
"1398",7.597933168
"1399",10.13070363
"1400",11.02810378
"1401",12.77646408
"1402",8.996822619
"1403",11.54307125
"1404",8.429558233
"1405",10.59635988
"1406",8.692584746
"1407",8.462280044
"1408",6.927908734
"1409",6.444439616
"1410",7.724231764
"1411",14.87958209
"1412",11.56003988
"1413",9.832421281
"1414",11.1883733
"1415",12.25532076
"1416",11.38547592
"1417",9.653979998
"1418",6.515484882
"1419",10.33052338
"1420",10.35241649
"1421",10.16434342
"1422",11.71376542
"1423",9.787003346
"1424",14.58801082
"1425",10.48290783
"1426",12.18918573
"1427",9.517380772
"1428",12.7126788
"1429",12.66874577
"1430",10.51911355
"1431",10.02465497
"1432",9.524459168
"1433",7.973181138
"1434",8.614151728
"1435",8.616324297
"1436",10.16208748
"1437",11.36956648
"1438",12.27881106
"1439",12.79751778
"1440",8.246783176
"1441",7.389190587
"1442",9.816613224
"1443",7.951250816
"1444",6.694173055
"1445",8.827196123
"1446",8.360695722
"1447",10.4040705
"1448",8.351545945
"1449",7.786201151
"1450",9.864004828
"1451",6.904822734
"1452",9.007613809
"1453",9.277679824
"1454",8.475710433
"1455",10.40125803
"1456",10.31425632
"1457",7.937150492
"1458",7.694630557
"1459",9.70878382
"1460",9.396090749
"1461",10.05099828
"1462",12.82548315
"1463",5.954310858
"1464",7.580257093
"1465",6.763528941
"1466",9.457429846
"1467",7.931586342
"1468",7.872857781
"1469",10.07265507
"1470",10.20951096
"1471",9.937122306
"1472",9.016790695
"1473",9.65570359
"1474",8.504752263
"1475",10.80444263
"1476",11.57502334
"1477",4.941607422
"1478",11.60523528
"1479",8.681879327
"1480",11.2284933
"1481",7.027634245
"1482",9.599025916
"1483",9.60559663
"1484",7.79938971
"1485",8.171219257
"1486",8.510615749
"1487",8.863373281
"1488",4.226799902
"1489",6.581512983
"1490",11.56060223
"1491",7.778341934
"1492",6.719444803
"1493",9.56432102
"1494",11.79739413
"1495",9.628174464
"1496",6.911970451
"1497",6.082014294
"1498",8.971890254
"1499",8.877417018
